GeneID	GSM8279311	GSM8279313	GSM8279314	GSM8279315	GSM8279316
100287102	3	3	3	1	2
653635	367	333	249	277	287
102466751	9	12	4	10	5
107985730	1	1	0	0	0
100302278	0	0	0	0	0
645520	0	2	1	1	1
79501	0	0	0	0	0
100996442	71	60	47	55	51
729737	54	47	38	33	50
102725121	3	2	1	1	2
102723897	370	346	240	258	297
102465909	5	6	3	4	5
107985721	2	1	1	0	1
112268260	23	16	13	20	18
729759	1	1	0	0	0
100132287	84	79	65	65	75
105378947	1	1	1	2	2
101928626	0	0	0	0	0
113219467	387	233	155	178	162
81399	5	4	2	3	6
100133331	114	97	94	92	90
107984841	34	27	20	24	27
107984847	44	39	19	27	44
107984849	6	8	4	5	6
100288069	48	57	46	48	52
105378580	35	32	27	26	28
400728	59	58	26	29	21
79854	32	28	22	28	28
643837	1544	1369	1235	1367	1376
107984850	11	9	9	12	11
284593	4	4	1	2	2
284600	36	42	26	24	28
100130417	15	12	6	8	9
107985728	19	22	8	11	14
148398	287	246	191	193	199
26155	2511	2056	1839	2113	2056
339451	298	302	191	209	220
84069	162	129	96	101	83
84808	35	20	16	21	17
57801	15	10	15	3	9
9636	382	347	228	253	258
375790	10754	9409	8529	9283	9642
100288175	241	173	339	362	331
112267874	43	29	62	57	63
105378948	187	133	253	267	266
401934	3	4	15	8	18
54991	272	217	202	200	218
254099	0	0	0	0	0
406984	0	0	0	0	0
406983	0	0	0	0	0
554210	0	0	0	0	0
100506376	0	0	0	0	0
254173	1	0	0	0	0
8784	10	10	14	11	17
7293	2	1	2	1	0
51150	8330	7035	5698	6108	6389
126792	1274	1089	985	1002	1000
388581	22	18	11	14	15
118424	1963	1704	1575	1728	1722
101928895	43	43	33	34	46
6339	116	114	86	78	101
116983	976	939	714	789	786
102465434	0	1	0	0	0
109623456	8	3	2	3	4
126789	267	228	198	184	176
54973	2230	1797	1530	1674	1713
102465435	3	3	2	1	4
80772	1000	825	707	760	693
83756	31	23	26	20	19
1855	2621	2262	1938	2013	2135
102466740	2	0	0	3	1
54587	923	844	414	501	525
54998	2502	2041	1692	1821	1775
81669	2767	2364	1831	1966	2223
148413	717	555	548	611	586
55052	1375	1172	944	1020	1070
107984868	1	0	1	1	0
441869	0	0	2	0	0
105378585	0	0	0	0	0
643965	0	0	0	0	0
102724312	1	0	3	1	1
107985729	1	0	0	0	0
64856	19	16	20	18	13
219293	48	45	38	39	36
83858	801	728	586	649	704
55210	1381	1216	978	1073	1052
339453	33	35	33	36	42
29101	3996	3174	2752	3093	3043
643988	0	1	3	6	2
105378586	0	1	1	1	0
142678	1235	1159	931	1092	1115
8510	33	30	23	29	30
984	1577	1362	1086	1196	1270
728661	3180	2738	2310	2574	2583
8511	3	2	2	5	3
728642	763	647	502	591	612
9906	1976	1772	1356	1566	1581
112268218	128	112	77	93	92
65220	1620	1400	1079	1159	1194
2782	14614	12392	10140	11425	11472
105378949	28	29	25	28	28
163688	19	27	1	14	26
339456	6	7	4	2	2
85452	0	0	0	0	0
107984872	0	0	1	0	0
105378589	0	0	0	0	0
2563	0	0	0	0	0
105378590	0	1	0	0	0
105378591	0	0	0	0	0
5590	111	86	67	86	78
100506504	3	2	4	7	3
199990	1261	1091	883	938	951
112268219	58	46	29	54	53
105378593	2	5	2	2	4
6497	1042	986	745	859	817
79906	228	166	161	185	171
100129534	44	31	34	28	43
11079	5168	4263	3392	3759	3884
5192	1329	1110	901	1026	1029
9651	57	47	26	38	48
55229	440	405	324	361	366
388585	0	0	0	0	0
115110	431	415	375	400	418
8764	2145	1743	1610	1876	1848
100996583	6	1	1	2	5
127281	878	706	658	697	701
79258	116	87	84	80	91
105378597	1	1	1	0	0
100287898	4	14	4	5	6
105378603	0	0	0	0	0
105378602	0	0	0	0	0
105378601	0	0	0	0	0
112268220	0	0	0	0	0
107985732	0	0	0	1	0
105378600	0	0	0	0	0
105378598	0	0	0	0	0
107984904	0	0	0	0	0
105378599	0	0	0	0	0
140625	0	0	0	0	0
440556	0	0	0	0	0
63976	3	1	1	3	1
100422968	0	0	0	0	0
105378606	0	0	0	0	0
107984909	0	0	0	0	0
105378605	0	0	0	0	0
105378604	3	2	4	4	3
27237	1	0	0	1	3
1953	42	36	33	27	35
105378608	0	0	0	0	0
693135	0	0	0	0	0
105378607	0	0	0	0	0
127262	1308	1148	870	957	960
49856	331	283	200	237	242
7161	2	8	5	7	2
105378610	0	0	0	1	2
105378609	0	0	0	0	0
57212	241	210	154	193	210
